חותמת זמן	שם ההשתלמות 	1. מה היא שביעות רצונך הכללית מהכשרה/העשרה ?	2. באיזה מידה הרגשת חופשי לשאול את המרצים שאלות ?	3.   באיזה מידה הרגשת שהכשרה/העשרה תרמה לך ?	4. באיזה מידה הייתה הלימה בין תכני ההרצאה והנושאים שעניינוו אותך?	5. באיזה מידה ההכשרה/העשרה חידשה או נתנה לך מידע חדש ?	6. באיזו מידה הכשרה/העשרה נתנה לך כלים יישומיים לשימוש יומיומי?	7. האם אתה  מתכוון ליישמם בעבודתך ?	8. ציין אילו שינויים בשדה הקליני/במקום עבודתך את/ה תנקוט בעקבות הכשרה/העשרה?  פרט:	9. לסיכום נשמח לשמוע על החוויה שלך- מה עבד טוב ומה היית מציע/ה לשפר ?  פרט:	תודה על שיתוף הפעולה!
15/01/2024 16:00:54	קורס טיפול פליאטיבי	5	4	5	5	3	4	5	גישה למשפחות	תודה רבה, מרצים היו מאוד מעניים. חומר ברור וחשוב	
15/01/2024 16:01:05	קורס טיפול פליאטיבי	5	5	5	5	5	5	5			
15/01/2024 16:02:11	קורס טיפול פליאטיבי	5	5	5	5	5	5	5		כל כבוד לכם אני התרשמתי הרבה מהקורס  היה הגל מצויין ברור  השתפרתי במהלך המקצוע שלי ועבודה מהקורס  תודה לכל מרצאים 	כל כבוד לכם 
15/01/2024 16:02:20	קורס טיפול פליאטיבי	4	5	5	5	5	4	5			
15/01/2024 16:03:00	קורס טיפול פליאטיבי	4	5	5	5	3	5	5			
15/01/2024 16:06:30	קורס טיפול פליאטיבי	5	5	5	5	5	5	5	אין מה שהוא מיוחד דפקה היה לי קיף זמן נוח לכולם בערב אחרי עבודה .  	הכול טוב ויפה מרצים מעברים חומר בצורה יפה ומובנה תודה לכם 	
15/01/2024 16:08:38	קורס טיפול פליאטיבי	5	5	5	5	5	5	5	הייתי מוסיפה את השימוש בכלים והטבלות להעריך מטופל פליאטיבי 	מאוד הקורס הזה שיפר ממחשבות שלי ומהידע שלי לגבי טיפול פליאטיבי 	תודה רבה לכל המרצים על הסבלנות והנתינה מהלב כדי לדעת וכדי שנשתפר 
15/01/2024 16:08:45	קורס טיפול פליאטיבי	3	5	5	5	4	3	3	עד היום לא היה בבית האבות הנחיות ברורות בנושא טיפול תומך, בזכות הקורס הוסכם ביחד עם האח האחראי לקדם ועדת טיפול פליאטיבית בבית האבות , להתחיל להשתמש בטופס הנחיות מקדימות	הקורס היה עשיר מאוד בידע, מאוד מעניין . כעו״ס היה לי קושי לעיתים להבין הנושאים הקשורים לאחים אך הצלחתי להבין הנושא בדרך כלל, מאוד עזר לי הידע כל זכויות, קשר כם משפחה , 	
15/01/2024 16:09:50	קורס טיפול פליאטיבי	4	5	4	4	3	5	5	לעזור לכוון, לזהות אנשים עם צרכים פליאטיבים	קורס מעניין וחשוב 	תודה רבה לכם ולכל המרצים ועובדים על הקורס אשמח להשתתף בקורסים אחרים חשובים עם העמותה 
15/01/2024 16:10:26	קורס טיפול פליאטיבי	5	5	5	5	5	5	5	בית אבות אחוזת הורים	קשה לילמוד בשעות הערב.	תודה רבה לכל הצוות!
15/01/2024 16:10:58	קורס טיפול פליאטיבי	5	3	5	5	4	5	5			
15/01/2024 16:12:06	קורס טיפול פליאטיבי	5	5	5	5	5	5	5	אני אחראי במוסד נאמן טיפול פליאטיבי 	אני מתכנן  ללמוד עוד קורס שזה היה מאוד מוצלח 	תודה לכם 🌹
15/01/2024 16:13:15	קורס טיפול פליאטיבי	5	5	5	5	5	5	5	לא		תודה ה רבה
15/01/2024 16:14:12	קורס טיפול פליאטיבי	5	4	5	5	5	5	5	לתת מענה לכל חולה הנוטה למות  לפי רצונו  ורצון המשפחה  וכמה שפחות סבל.	החוויה היתה טובה המצגות היו מאוד מעניינות המרצים היו מעל ומעבר הכל היה ברור ומובן ומלמד.	
15/01/2024 16:41:22	קורס טיפול פליאטיבי	5	5	5	5	5	5	5	להבין איך להגדיר מטופלים כפליאטיבים	היה ממש מלמד ומהנה	תודה רבה
